Holes,Strengths
AKs,0.667715
AQs,0.66228
AJs,0.65242
ATs,0.64763
A9s,0.62806
A8s,0.620395
A7s,0.61193
A6s,0.599755
A5s,0.599115
A4s,0.587975
A3s,0.58288
A2s,0.5703
KQs,0.631355
KJs,0.62595
KTs,0.61651
K9s,0.59994
K8s,0.580745
K7s,0.575525
K6s,0.568985
K5s,0.55793
K4s,0.551165
K3s,0.54109
K2s,0.534735
QJs,0.602585
QTs,0.593905
Q9s,0.576045
Q8s,0.559625
Q7s,0.541175
Q6s,0.534275
Q5s,0.52851
Q4s,0.520115
Q3s,0.511115
Q2s,0.50372
JTs,0.574425
J9s,0.55349
J8s,0.538435
J7s,0.52086
J6s,0.505835
J5s,0.500185
J4s,0.490665
J3s,0.483465
J2s,0.47554
T9s,0.541345
T8s,0.52353
T7s,0.506165
T6s,0.49057
T5s,0.471135
T4s,0.46598
T3s,0.457445
T2s,0.447985
98s,0.507625
97s,0.493015
96s,0.473045
95s,0.456415
94s,0.438765
93s,0.42987
92s,0.424535
87s,0.47917
86s,0.459685
85s,0.44439
84s,0.427635
83s,0.40626
82s,0.40186
76s,0.452545
75s,0.435175
74s,0.417495
73s,0.400575
72s,0.384535
65s,0.430815
64s,0.415395
63s,0.39476
62s,0.375055
54s,0.415185
53s,0.39774
52s,0.37869
43s,0.385395
42s,0.368815
32s,0.358135
AKo,0.653085
AQo,0.64411
AJo,0.63501
ATo,0.62855
A9o,0.609775
A8o,0.596015
A7o,0.589885
A6o,0.576865
A5o,0.57434
A4o,0.563965
A3o,0.558555
A2o,0.54915
KQo,0.615165
KJo,0.604755
KTo,0.59921
K9o,0.57649
K8o,0.55995
K7o,0.551885
K6o,0.543515
K5o,0.53358
K4o,0.525235
K3o,0.51333
K2o,0.50538
QJo,0.57956
QTo,0.5719
Q9o,0.55495
Q8o,0.53371
Q7o,0.51787
Q6o,0.509645
Q5o,0.500835
Q4o,0.49304
Q3o,0.48297
Q2o,0.47386
JTo,0.55452
J9o,0.533695
J8o,0.51697
J7o,0.497575
J6o,0.479855
J5o,0.468495
J4o,0.46179
J3o,0.4532
J2o,0.4445
T9o,0.513625
T8o,0.498015
T7o,0.47779
T6o,0.460535
T5o,0.444605
T4o,0.4383
T3o,0.42668
T2o,0.4171
98o,0.48098
97o,0.46354
96o,0.44471
95o,0.427285
94o,0.40816
93o,0.399225
92o,0.39067
87o,0.4523
86o,0.4312
85o,0.4138
84o,0.39522
83o,0.376925
82o,0.36773
76o,0.422005
75o,0.404805
74o,0.38571
73o,0.36567
72o,0.344235
65o,0.39927
64o,0.380655
63o,0.36245
62o,0.340095
54o,0.381255
53o,0.36267
52o,0.344695
43o,0.35139
42o,0.329815
32o,0.3214
AAo,0.85138
KKo,0.82505
QQo,0.79884
JJo,0.77527
TTo,0.75259
99o,0.71692
88o,0.690585
77o,0.66189
66o,0.63282
55o,0.601725
44o,0.57046
33o,0.53677
22o,0.5038
